GeneMark.hmm PROKARYOTIC (Version 3.25)
Date: Sun May 20 08:06:29 2018
Sequence file name: /Users/mdylag/workspaces/biohackathon/mh179470.fasta
Model file name: GeneMark_hmm_heuristic.mod
RBS: false
Model information: Heuristic_model_for_genetic_code_11_and_GC_56

FASTA definition line: MH179470.1 Aeromonas phage 13AhydR10PP, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +         142         465          324        1
    2        +         545         769          225        1
    3        +         762        1106          345        1
    4        +        1103        1273          171        1
    5        +        1276        1710          435        1
    6        +        1698        1931          234        1
    7        +        1928        2512          585        1
    8        +        2588        2962          375        1
    9        -        2955        3200          246        1
   10        +        3494        3727          234        1
   11        +        3724        3933          210        1
   12        +        4172        4657          486        1
   13        +        4657        6738         2082        1
   14        +        6780        6983          204        1
   15        +        6980        8494         1515        1
   16        +        8491        9933         1443        1
   17        +        9992       11026         1035        1
   18        +       11026       11406          381        1
   19        +       11393       12001          609        1
   20        +       12006       12530          525        1
   21        +       12527       13204          678        1
   22        +       13229       13570          342        1
   23        +       13608       14429          822        1
   24        +       14429       15004          576        1
   25        +       15001       17535         2535        1
   26        +       17558       17977          420        1
   27        +       18039       19712         1674        1
   28        +       19712       20017          306        1
   29        +       20110       20367          258        1
   30        +       20380       21540         1161        1
   31        +       21593       22102          510        1
   32        +       22133       22450          318        1
   33        +       22471       22605          135        1
   34        +       22646       25138         2493        1
   35        +       25138       25629          492        1
   36        +       25626       25841          216        1
   37        +       25843       26844         1002        1
   38        +       26879       27835          957        1
   39        +       28688       29020          333        1
   40        +       29010       29840          831        1
   41        +       29859       30179          321        1
   42        +       30179       30343          165        1
   43        -       30392       30661          270        1
   44        -       30658       31227          570        1
   45        -       32274       32780          507        1
   46        -       32777       33784         1008        1
   47        -       33904       34332          429        1
   48        -       34468       34632          165        1
   49        -       34632       35078          447        1
   50        -       35152       35703          552        1
   51        +       35785       36102          318        1
   52        +       36092       36322          231        1
   53        +       36679       36825          147        1
   54        +       36822       37205          384        1
   55        +       37236       37523          288        1
   56        +       37520       38068          549        1
   57        +       38068       38457          390        1
   58        +       38475       38705          231        1
   59        +       38702       39019          318        1
   60        +       39016       39402          387        1
   61        +       39392       39754          363        1
   62        +       39756       40094          339        1
   63        +       40095       40451          357        1
   64        +       40444       40833          390        1
   65        +       41048       41650          603        1
   66        +       41650       41889          240        1
   67        +       41889       42119          231        1
   68        +       42116       42349          234        1
   69        +       42346       42708          363        1
   70        +       42705       42935          231        1
   71        +       42932       43765          834        1
   72        +       43765       43995          231        1
   73        +       43995       44237          243        1
   74        +       44279       44686          408        1
   75        +       44858       45103          246        1
   76        +       45100       45492          393        1
   77        +       45489       45713          225        1
   78        +       45710       46105          396        1
   79        +       46102       46311          210        1
   80        +       46394       47479         1086        1
   81        +       47599       47760          162        1

