GeneMark.hmm PROKARYOTIC (Version 3.25)
Date: Sun May 20 03:27:09 2018
Sequence file name: /Users/mdylag/workspaces/biohackathon/p1.fasta
Model file name: GeneMark_hmm_combined.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: NC_005856.1 Enterobacteria phage P1, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +         207         428          222        1
    2        +         517        1467          951        1
    3        +        1518        1829          312        1
    4        +        2077        2637          561        1
    5        +        2827        3468          642        1
    6        -        3544        6456         2913        1
    7        -        6459        7628         1170        1
    8        -        7798        8814         1017        1
    9        -        8819        9619          801        1
   10        -        9750        9998          249        1
   11        -        9995       10435          441        1
   12        -       10469       17236         6768        1
   13        +       17312       19021         1710        1
   14        +       19014       20033         1020        1
   15        -       20078       20332          255        1
   16        -       20325       20882          558        1
   17        +       21051       21539          489        1
   18        +       21569       22531          963        1
   19        -       22641       23144          504        1
   20        +       23527       24132          606        2
   21        -       24244       24552          309        1
   22        -       24542       27529         2988        1
   23        -       27542       27907          366        1
   24        -       27904       29823         1920        1
   25        -       29825       30427          603        1
   26        -       30414       30857          444        1
   27        -       30854       31183          330        2
   28        -       31251       31532          282        2
   29        +       31660       32220          561        1
   30        +       32268       33782         1515        1
   31        +       33785       34318          534        1
   32        -       34347       34874          528        1
   33        -       34878       37841         2964        1
   34        -       37853       38287          435        1
   35        -       38366       39202          837        1
   36        -       39202       40635         1434        1
   37        -       40632       40988          357        1
   38        -       40988       44410         3423        1
   39        -       44492       45373          882        1
   40        -       45388       45999          612        1
   41        -       46010       46576          567        1
   42        -       46786       47580          795        1
   43        -       47573       47890          318        1
   44        -       48203       48538          336        2
   45        +       48688       49731         1044        1
   46        +       49896       50696          801        1
   47        +       50762       51571          810        1
   48        +       51812       52444          633        2
   49        +       52444       52908          465        2
   50        -       53454       53963          510        1
   51        -       53975       54556          582        1
   52        -       54592       55407          816        1
   53        -       55417       57006         1590        1
   54        -       57067       58773         1707        1
   55        -       58999       60000         1002        1
   56        -       60017       61213         1197        1
   57        -       61771       62631          861        1
   58        -       62950       63342          393        1
   59        -       63354       63485          132        1
   60        -       63520       63942          423        1
   61        -       63982       64770          789        1
   62        -       64779       64958          180        1
   63        +       65233       65517          285        2
   64        +       65510       66415          906        1
   65        +       66412       68676         2265        1
   66        -       69850       70041          192        2
   67        +       70233       70658          426        1
   68        +       70658       70822          165        1
   69        +       70822       70929          108        2
   70        +       71295       72659         1365        1
   71        +       72659       73657          999        1
   72        -       73704       74336          633        1
   73        -       74329       75345         1017        1
   74        -       75347       76132          786        1
   75        -       76119       76847          729        1
   76        -       76851       78068         1218        1
   77        -       78078       78455          378        1
   78        +       78602       78847          246        1
   79        +       78850       79428          579        1
   80        +       79534       79650          117        1
   81        +       80152       80778          627        1
   82        +       80760       81452          693        1
   83        +       81449       82150          702        1
   84        +       82232       82450          219        2
   85        +       82452       83714         1263        1
   86        +       83787       84293          507        1
   87        +       84344       84478          135        1
   88        +       84488       85417          930        1
   89        +       85554       85916          363        1
   90        -       85992       86129          138        1
   91        +       86454       86543           90        1
   92        +       86579       86830          252        1
   93        -       86837       87409          573        1
   94        +       87584       87973          390        1
   95        +       88046       88267          222        1
   96        +       88267       88647          381        1
   97        +       88652       88831          180        1
   98        +       88859       89902         1044        1
   99        +       89991       90443          453        1
  100        +       90529       91722         1194        1
  101        +       91722       93206         1485        1
  102        -       93231       94082          852        1
  103        -       94193       94402          210        1

